pickup_longitude,pickup_latitude,region
-73.94403839111328,40.79183197021485,0
-73.94487762451173,40.79159164428711,0
-73.95442962646483,40.80587005615234,0
-73.9628677368164,40.80452346801758,0
-73.9569091796875,40.80236053466797,0
-73.9558868408203,40.80386352539063,0
-73.95825958251953,40.80912399291992,0
-73.96246337890625,40.8101043701172,0
-73.94943237304686,40.802059173583984,0
-73.94686126708984,40.7948112487793,0
-73.90811157226561,40.80693817138672,0
-73.93993377685547,40.80360412597656,0
-73.93499755859375,40.80073165893555,0
-73.96087646484375,40.80699157714844,0
-73.94831085205078,40.80314636230469,0
-73.93868255615233,40.8050651550293,0
-73.95853424072266,40.80069351196289,0
-73.92567443847656,40.80612564086913,0
-73.94168090820312,40.79182052612305,0
-73.94992828369139,40.79582214355469,0
-73.95984649658203,40.801372528076165,0
-73.93722534179686,40.79854965209961,0
-73.94884490966798,40.797561645507805,0
-73.94586181640625,40.792922973632805,0
-73.94061279296875,40.793270111083984,0
-73.96208953857422,40.81075286865234,0
-73.95406341552734,40.80625915527344,0
-73.94229125976561,40.80653762817384,0
-73.94240570068358,40.806316375732415,0
-73.9527587890625,40.803176879882805,0
-73.93475341796875,40.80113983154297,0
-73.94181060791014,40.798458099365234,0
-73.93728637695312,40.80426788330078,0
-73.96243286132812,40.81044006347656,0
-73.92710876464845,40.80438232421875,0
-73.95465087890625,40.80044937133789,0
-73.95734405517578,40.801788330078125,0
-73.94158935546875,40.79874038696289,0
-73.9451904296875,40.81311798095703,0
-73.95278930664062,40.79841995239258,0
-73.94522857666014,40.80836868286133,0
-73.94474029541014,40.79177474975586,0
-73.9640121459961,40.80823516845703,0
-73.95269775390625,40.798389434814446,0
-73.93993377685547,40.794071197509766,0
-73.95867156982422,40.81539535522461,0
-73.96385955810547,40.808120727539055,0
-73.94060516357422,40.814056396484375,0
-73.9415512084961,40.7989387512207,0
-73.9464111328125,40.8114013671875,0
-73.95326232910156,40.80247116088867,0
-73.9588851928711,40.81502532958984,0
-73.94450378417967,40.79476165771485,0
-73.95550537109375,40.8042449951172,0
-73.96215057373048,40.80562210083008,0
-73.93598175048828,40.80318832397461,0
-73.9638671875,40.80821228027344,0
-73.93499755859375,40.80072784423828,0
-73.95012664794923,40.79580307006836,0
-73.94116973876953,40.79917144775391,0
-73.96111297607422,40.81160354614258,0
-73.94139099121094,40.79890060424805,0
-73.94045257568358,40.79332733154297,0
-73.94078063964844,40.79970550537109,0
-73.96208190917967,40.8054313659668,0
-73.93916320800781,40.79511642456056,0
-73.9659423828125,40.80875396728516,0
-73.93257904052734,40.79553985595703,0
-73.9579086303711,40.81515884399414,0
-73.95851898193358,40.80051040649414,0
-73.9446563720703,40.79473876953125,0
-73.9543685913086,40.8161506652832,0
-73.95667266845702,40.802688598632805,0
-73.95204162597656,40.80400085449219,0
-73.94562530517578,40.80777359008789,0
-73.94916534423827,40.8028450012207,0
-73.9642333984375,40.80804443359375,0
-73.94197845458984,40.79141616821289,0
-73.94580841064453,40.79303741455078,0
-73.93939971923827,40.7946891784668,0
-73.95953369140625,40.814090728759766,0
-73.94644927978516,40.79783630371094,0
-73.95003509521484,40.7957420349121,0
-73.95303344726561,40.809394836425774,0
-73.93807220458984,40.80476379394531,0
-73.94550323486328,40.807918548583984,0
-73.95819854736328,40.81613159179688,0
-73.96160125732422,40.811328887939446,0
-73.94063568115233,40.800106048583984,0
-73.95982360839844,40.813724517822266,0
-73.94429779052734,40.80915069580078,0
-73.95855712890625,40.81594467163086,0
-73.96096038818358,40.801856994628906,0
-73.95775604248048,40.801212310791016,0
-73.95552825927734,40.804317474365234,0
-73.94281768798828,40.811466217041016,0
-73.96050262451173,40.812782287597656,0
-73.95711517333984,40.801883697509766,0
-73.96066284179686,40.806636810302734,0
-73.959716796875,40.8011131286621,0
-73.9452133178711,40.80776596069336,0
-73.95449829101561,40.805862426757805,0
-73.96226501464845,40.810413360595696,0
-73.95965576171875,40.809478759765625,0
-73.93264770507811,40.7957878112793,0
-73.9395751953125,40.794597625732415,0
-73.96043395996092,40.81613540649414,0
-73.9399185180664,40.79787826538086,0
-73.93578338623048,40.79986953735352,0
-73.96139526367188,40.806129455566406,0
-73.93636322021484,40.7988166809082,0
-73.94136810302734,40.79196166992188,0
-73.9314727783203,40.8018684387207,0
-73.94026947021484,40.80046463012695,0
-73.96122741699219,40.80657577514648,0
-73.94517517089844,40.80183792114258,0
-73.96460723876953,40.80728912353516,0
-73.94036102294923,40.793678283691406,0
-73.95142364501953,40.810325622558594,0
-73.94742584228516,40.81552505493164,0
-73.93515777587889,40.800758361816406,0
-73.96282958984375,40.80440902709961,0
-73.95623779296875,40.80316925048828,0
-73.93283081054686,40.79487228393555,0
-73.95211029052734,40.80872344970703,0
-73.93730926513672,40.810306549072266,0
-73.95037841796875,40.797412872314446,0
-73.95742797851561,40.80442810058594,0
-73.94029998779298,40.79812240600586,0
-73.92662048339844,40.799758911132805,0
-73.9647445678711,40.806339263916016,0
-73.9641876220703,40.80783462524414,0
-73.94088745117188,40.793006896972656,0
-73.94934844970702,40.80948257446289,0
-73.96189880371094,40.8105583190918,0
-73.93315124511719,40.796817779541016,0
-73.95514678955078,40.80437850952149,0
-73.96505737304686,40.80692672729492,0
-73.93612670898438,40.7994499206543,0
-73.9520492553711,40.79894256591797,0
-73.94445037841797,40.794769287109375,0
-73.94276428222656,40.81169891357422,0
-73.9649887084961,40.80690002441406,0
-73.94211578369139,40.79791641235352,0
-73.94827270507811,40.80398178100586,0
-73.96443939208984,40.80747222900391,0
-73.95243835449219,40.81085586547852,0
-73.94615936279298,40.79214859008789,0
-73.93830108642578,40.80320739746094,0
-73.96369171142578,40.8084716796875,0
-73.96216583251953,40.80536651611328,0
-73.94496154785155,40.79415893554688,0
-73.92259216308595,40.80476760864258,0
-73.94947052001953,40.80200958251953,0
-73.96146392822266,40.8115119934082,0
-73.93757629394531,40.79296875,0
-73.95010375976561,40.79560470581056,0
-73.94024658203125,40.79377365112305,0
-73.94823455810547,40.80411911010742,0
-73.93466186523438,40.80129623413086,0
-73.93814849853516,40.79206085205078,0
-73.95025634765625,40.80654525756836,0
-73.935791015625,40.796211242675774,0
-73.96244812011719,40.8052215576172,0
-73.96138763427734,40.81160736083984,0
-73.94154357910156,40.79875946044922,0
-73.95033264160156,40.79735565185546,0
-73.95327758789062,40.80237579345703,0
-73.95418548583984,40.8061408996582,0
-73.94644927978516,40.792388916015625,0
-73.95946502685547,40.814502716064446,0
-73.9416732788086,40.798301696777344,0
-73.93907928466798,40.805023193359375,0
-73.93891906738281,40.81101989746094,0
-73.96125030517578,40.80190658569336,0
-73.95288848876953,40.79854965209961,0
-73.95999145507811,40.80134582519531,0
-73.9564437866211,40.8029670715332,0
-73.95823669433594,40.807735443115234,0
-73.96375274658203,40.80817031860352,0
